from,to,weight
5537,1011,0.00020820352
5537,1020,0.00021188859
5537,2018,0.00041304508
5537,1037,0.00020705916
5537,2391,0.00028146125
5537,16221,0.00072092266
5537,1006,0.00016666921
5537,1043,0.00018499451
5537,1011,0.00016144449
5537,2000,0.00025039047
5537,1011,0.00015596839
5537,1037,0.00012490207
5537,1007,0.00018170565
5537,1999,0.00023418717
5537,1996,0.00033994866
5537,11867,0.00017105436
5537,13231,0.0017126002
5537,5138,0.00027498996
5537,2953,0.00032341926
5537,2609,0.0006372857
5537,1010,0.0075235087
5537,2029,0.00019639087
5537,7153,0.0003868935
5537,1996,0.00033308266
5537,3671,0.0003751428
5537,11867,0.00024658247
5537,10415,0.00065360207
5537,2075,0.00022334508
5537,1997,0.00022866667
5537,1996,0.00029136738
5537,2197,0.0004257251
5537,17174,0.0011204948
5537,2078,0.0003342839
5537,1043,0.00016172435
5537,1012,0.021905703
5537,1037,0.00022772829
5537,2235,0.00023069764
5537,2048,0.000121446355
5537,1011,0.00018497554
5537,16371,0.00017201484
5537,14321,0.00023240021
5537,26601,0.0011737522
5537,3972,0.00034470283
5537,20624,0.00034717296
5537,2239,0.00042658523
5537,1999,0.00022343636
5537,4654,0.00039282147
5537,2239,0.00030761558
5537,3523,0.00029535513
5537,2001,0.0003597207
5537,11156,0.0007413035
5537,1999,0.00021326456
5537,5776,0.00037429013
5537,1044,0.00016202718
5537,2497,0.0001459411
5537,1011,0.0001550918
5537,1021,0.00016195136
5537,1998,0.00022685976
5537,17544,0.00055354834
5537,11048,0.0004750481
5537,4048,0.00014950016
5537,18915,0.00030742402
5537,13096,0.00076946104
5537,12737,0.0006608899
5537,1998,0.00022836086
5537,12527,0.00037537946
5537,2011,0.00016141444
5537,1037,0.00014287732
5537,2644,0.00033473587
5537,19429,0.0004238761
5537,2239,0.0005226165
5537,1012,0.022035802
5537,2122,0.0004175144
5537,24501,0.0004234525
5537,2271,0.00036759116
5537,21593,0.0005074573
5537,6592,0.00055065664
5537,2008,0.00021092645
5537,2025,0.00018220513
5537,2069,0.00014345624
5537,1996,0.00020906568
5537,7977,0.0005012357
5537,4962,0.0014360002
5537,3972,0.00020507547
5537,20624,0.0002636982
5537,2239,0.00027234308
5537,1997,0.00030436192
5537,5387,0.0008024869
5537,11814,0.0002960647
5537,4962,0.0018496712
5537,2021,0.00021676766
5537,2036,0.00015500461
5537,1996,0.00018117341
5537,2391,0.00029813964
5537,14494,0.0009584433
5537,2030,0.00028025123
5537,2235,0.00026384537
5537,16371,0.00022820363
5537,14321,0.00030361375
5537,26601,0.0014860878
5537,3972,0.00031633442
5537,20624,0.00034084308
5537,2239,0.0002864146
5537,2008,0.00024118886
5537,2089,0.0002892208
5537,3426,0.00031075685
5537,1996,0.008637354
5537,24191,0.0006228581
5537,1997,0.0003394111
5537,16861,0.0016367661
5537,2592,0.0010903714
5537,2015,0.00045915248
5537,2005,0.00032695296
5537,9677,0.000488913
5537,5250,0.0015415458
5537,10752,0.0015201361
5537,2003,0.00036335204
5537,3653,0.00025500244
5537,10521,0.00030690656
5537,19155,0.0003381102
5537,2000,0.00032228578
5537,2458,0.0005493203
5537,1997,0.0007364706
5537,3424,0.00042685313
5537,1011,0.00033726875
5537,5387,0.00064979156
5537,11814,0.0003905575
5537,25456,0.0016849688
5537,1999,0.00038553445
5537,5022,0.0005957377
5537,2007,0.00033498602
5537,19610,0.00036725812
5537,7361,0.00020681384
5537,19466,0.00032704635
5537,2401,0.0004376779
5537,1038,0.00030580285
5537,1012,0.00074715976
5537,102,0.2901403
4106,101,0.07357686
4106,6064,0.028465232
4106,5537,0.04102911
4106,4106,0.023966588
4106,1997,0.043739073
4106,2093,0.020307668
4106,24054,0.006841215
4106,1011,0.004067773
4106,3893,0.0036839035
4106,19610,0.001864223
4106,7361,0.0007231102
4106,19466,0.001319597
4106,2401,0.002841635
4106,1038,0.003067023
4106,5022,0.009549431
4106,2302,0.008656845
4106,7977,0.002759639
4106,4962,0.003271876
4106,3972,0.001193588
4106,20624,0.001102431
4106,2239,0.002044211
4106,1024,0.019532869
4106,8720,0.009787817
4106,1997,0.0033199245
4106,2176,0.001949553
4106,3117,0.0019300617
4106,14494,0.0036191354
4106,1999,0.0027006527
4106,5387,0.0014222943
4106,11814,0.0008879059
4106,4962,0.002586057
4106,1012,0.009780672
4106,2093,0.0021635336
4106,19610,0.000744941
4106,7361,0.00039025635
4106,19466,0.0007420001
4106,2401,0.0010653256
4106,1038,0.0008932341
4106,5022,0.0026646266
4106,2007,0.0017736881
4106,3424,0.00085001043
4106,1011,0.00048541225
4106,5387,0.0009907106
4106,11814,0.00060292025
4106,22931,0.0041203485
4106,2040,0.0021797516
4106,2018,0.0018243432
4106,2053,0.0009756579
4106,11487,0.001958614
4106,3085,0.00092145376
4106,7977,0.0010391984
