split,index,nodes,total_values_for_nodes,edges,total_values_for_edges,total_values_for_graph
validation,57,1128,866304,18920,2724480,3590784
validation,58,1092,838656,18106,2607264,3445920
validation,59,1246,956928,21362,3076128,4033056
validation,60,1129,867072,18943,2727792,3594864
validation,61,1034,794112,16923,2436912,3231024
validation,62,1325,1017600,22954,3305376,4322976
validation,63,1246,956928,21362,3076128,4033056
validation,64,1356,1041408,23626,3402144,4443552
validation,65,1294,993792,22327,3215088,4208880
validation,66,1244,955392,21316,3069504,4024896
validation,67,1157,888576,19491,2806704,3695280
validation,68,1278,981504,22020,3170880,4152384
validation,69,1192,915456,20183,2906352,3821808
validation,70,1299,997632,22425,3229200,4226832
validation,71,1048,804864,17194,2475936,3280800
validation,72,961,738048,15371,2213424,2951472
validation,73,1357,1042176,23649,3405456,4447632
validation,74,1074,824832,17722,2551968,3376800
validation,75,1348,1035264,23448,3376512,4411776
validation,76,1251,960768,21478,3092832,4053600
validation,77,1056,811008,17354,2498976,3309984
validation,78,1120,860160,18734,2697696,3557856
validation,79,1180,906240,19939,2871216,3777456
validation,80,1126,864768,18873,2717712,3582480
validation,81,1224,940032,20865,3004560,3944592
validation,82,1320,1013760,22850,3290400,4304160
validation,83,1084,832512,17934,2582496,3415008
validation,84,1054,809472,17313,2493072,3302544
validation,85,1097,842496,18216,2623104,3465600
validation,86,1347,1034496,23426,3373344,4407840
validation,87,1078,827904,17806,2564064,3391968
validation,88,1092,838656,18106,2607264,3445920
validation,89,1221,937728,20799,2995056,3932784
validation,90,1337,1026816,23209,3342096,4368912
validation,91,1277,980736,22002,3168288,4149024
validation,92,1248,958464,21408,3082752,4041216
validation,93,1135,871680,19085,2748240,3619920
validation,94,1334,1024512,23145,3332880,4357392
validation,95,1076,826368,17764,2558016,3384384
validation,96,1321,1014528,22871,3293424,4307952
validation,97,1125,864000,18850,2714400,3578400
validation,98,1162,892416,19586,2820384,3712800
validation,99,1026,787968,16772,2415168,3203136
validation,100,1312,1007616,22686,3266784,4274400
validation,101,1259,966912,21666,3119904,4086816
validation,102,1125,864000,18850,2714400,3578400
validation,103,1012,777216,16515,2378160,3155376
validation,104,1276,979968,21983,3165552,4145520
validation,105,1166,895488,19663,2831472,3726960
validation,106,1074,824832,17723,2552112,3376944
validation,107,1314,1009152,22726,3272544,4281696
validation,108,1217,934656,20712,2982528,3917184
validation,109,1071,822528,17660,2543040,3365568
validation,110,993,762624,16082,2315808,3078432
validation,111,994,763392,16105,2319120,3082512
validation,112,1358,1042944,23671,3408624,4451568
validation,113,1000,768000,16244,2339136,3107136
validation,114,1265,971520,21780,3136320,4107840
validation,115,1290,990720,22249,3203856,4194576
validation,116,1159,890112,19529,2812176,3702288
validation,117,1288,989184,22210,3198240,4187424
validation,118,958,735744,15307,2204208,2939952
validation,119,1177,903936,19879,2862576,3766512
validation,120,1089,836352,18041,2597904,3434256
validation,121,1353,1039104,23559,3392496,4431600
validation,122,1249,959232,21432,3086208,4045440
validation,123,1269,974592,21853,3146832,4121424
validation,124,1332,1022976,23102,3326688,4349664
validation,125,1122,861696,18780,2704320,3566016
validation,126,1237,950016,21156,3046464,3996480
validation,127,1609,1235712,28904,4162176,5397888
validation,128,1080,829440,17849,2570256,3399696
validation,129,1275,979200,21964,3162816,4142016
validation,130,1021,784128,16679,2401776,3185904
validation,131,1273,977664,21927,3157488,4135152
validation,132,1106,849408,18415,2651760,3501168
validation,133,1314,1009152,22726,3272544,4281696
validation,134,1088,835584,18020,2594880,3430464
validation,135,1379,1059072,24154,3478176,4537248
validation,136,1068,820224,17598,2534112,3354336
validation,137,1065,817920,17536,2525184,3343104
validation,138,1245,956160,21339,3072816,4028976
validation,139,1270,975360,21872,3149568,4124928
validation,140,1346,1033728,23406,3370464,4404192
